,module,trial,timestamp,x,y
0,identification,0,0,693,2000
1,identification,0,2,2594,146
2,identification,0,37,2003,723
3,identification,0,69,1201,725
4,identification,0,103,2294,1550
5,identification,0,153,3618,264
6,identification,0,186,1928,345
7,identification,0,220,3508,35
8,identification,0,253,2563,1105
9,identification,0,288,3427,142
10,identification,0,320,3036,586
11,identification,0,353,3482,24
12,identification,0,403,3119,1316
13,identification,0,436,154,1226
14,identification,0,470,3581,846
15,identification,0,521,3729,1930
16,identification,0,553,3029,2116
17,identification,0,587,2495,1114
18,identification,0,620,1637,806
19,identification,0,654,2699,628
20,identification,0,687,221,1617
21,identification,0,720,1959,2072
22,identification,0,754,1354,667
23,identification,0,804,769,382
24,identification,0,837,2645,1098
25,identification,0,871,201,590
26,identification,0,921,2989,1719
27,identification,0,955,1438,1354
28,identification,0,988,174,1492
29,identification,0,1021,3290,1636
30,identification,0,1054,1756,170
31,identification,0,1088,1564,1819
32,identification,0,1121,1387,1254
33,identification,0,1171,28,1125
34,identification,0,1204,348,2132
35,identification,0,1238,3373,1085
36,identification,0,1271,69,145
37,identification,0,1321,1736,1461
38,identification,0,1354,1543,1026
39,identification,0,1388,3490,312
40,identification,0,1421,1032,1288
41,identification,0,1454,3667,1467
42,identification,0,1488,3398,697
43,identification,0,1521,2199,1304
44,identification,0,1571,1708,1947
45,identification,0,1605,1929,1335
46,identification,0,1638,2391,1882
47,identification,0,1688,2328,1909
48,identification,0,1721,3760,759
49,identification,0,1754,3333,909
50,identification,0,1788,967,1346
51,identification,0,1821,1612,840
52,identification,0,1855,1425,168
53,identification,0,1889,2461,2087
54,identification,0,1921,2236,109
55,identification,0,1971,2632,2071
56,identification,0,2005,1230,1673
57,identification,0,2038,2958,2075
58,identification,0,2088,1969,541
59,identification,0,2122,36,452
60,identification,0,2155,187,1599
61,identification,0,2188,1015,2019
62,identification,0,2221,2183,921
63,identification,0,2255,55,849
64,identification,0,2288,3435,457
65,identification,0,2338,481,1735
66,identification,0,2373,3365,38
