trial,q,face11,face12,face21,face22
0,neutral,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
1,neutral,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
2,neutral,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
3,neutral,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
4,neutral,8_30_male_fearful,8_30_male_angry,8_30_male_surprised,8_30_male_disgusted
5,neutral,5_20_female_sad,5_20_female_fearful,5_20_female_angry,5_20_female_disgusted
6,neutral,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
7,neutral,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
8,neutral,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
9,neutral,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
10,surprised,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
11,surprised,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
12,surprised,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
13,happy,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
14,happy,3_20_male_fearful,3_20_male_angry,3_20_male_surprised,3_20_male_disgusted
15,happy,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
16,happy,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
17,happy,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
18,happy,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
19,happy,22_50_male_sad,22_50_male_fearful,22_50_male_angry,22_50_male_disgusted
20,happy,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
21,happy,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
22,happy,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
23,fearful,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
24,fearful,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
25,fearful,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
26,sad,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
27,sad,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
28,sad,20_40_female_fearful,20_40_female_angry,20_40_female_surprised,20_40_female_disgusted
29,sad,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
30,sad,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
31,sad,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
32,sad,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
33,sad,2_20_male_fearful,2_20_male_angry,2_20_male_surprised,2_20_male_disgusted
34,sad,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
35,sad,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
36,disgusted,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
37,disgusted,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
38,disgusted,19_40_female_fearful,19_40_female_angry,19_40_female_surprised,19_40_female_disgusted
39,angry,15_40_male_sad,15_40_male_fearful,15_40_male_angry,15_40_male_disgusted
40,angry,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
41,angry,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
42,angry,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
43,angry,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
44,angry,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
45,angry,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
46,angry,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
47,angry,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
48,angry,11_30_female_fearful,11_30_female_angry,11_30_female_surprised,11_30_female_disgusted
