trial,q,face11,face12,face21,face22
0,neutral,11_30_female_fearful,11_30_female_angry,11_30_female_surprised,11_30_female_disgusted
1,neutral,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
2,neutral,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
3,neutral,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
4,neutral,11_30_female_happy,11_30_female_sad,11_30_female_angry,11_30_female_neutral
5,neutral,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
6,neutral,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
7,neutral,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
8,neutral,15_40_male_happy,15_40_male_sad,15_40_male_angry,15_40_male_neutral
9,neutral,15_40_male_sad,15_40_male_fearful,15_40_male_angry,15_40_male_disgusted
10,surprised,19_40_female_fearful,19_40_female_angry,19_40_female_surprised,19_40_female_disgusted
11,surprised,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
12,surprised,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
13,happy,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
14,happy,19_40_female_happy,19_40_female_sad,19_40_female_angry,19_40_female_neutral
15,happy,2_20_male_fearful,2_20_male_angry,2_20_male_surprised,2_20_male_disgusted
16,happy,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
17,happy,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
18,happy,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
19,happy,2_20_male_happy,2_20_male_sad,2_20_male_angry,2_20_male_neutral
20,happy,20_40_female_fearful,20_40_female_angry,20_40_female_surprised,20_40_female_disgusted
21,happy,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
22,happy,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
23,fearful,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
24,fearful,20_40_female_happy,20_40_female_sad,20_40_female_angry,20_40_female_neutral
25,fearful,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
26,sad,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
27,sad,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
28,sad,22_50_male_happy,22_50_male_sad,22_50_male_angry,22_50_male_neutral
29,sad,22_50_male_sad,22_50_male_fearful,22_50_male_angry,22_50_male_disgusted
30,sad,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
31,sad,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
32,sad,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
33,sad,25_50_female_happy,25_50_female_sad,25_50_female_angry,25_50_female_neutral
34,sad,3_20_male_fearful,3_20_male_angry,3_20_male_surprised,3_20_male_disgusted
35,sad,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
36,disgusted,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
37,disgusted,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
38,disgusted,3_20_male_happy,3_20_male_sad,3_20_male_angry,3_20_male_neutral
39,angry,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
40,angry,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
41,angry,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
42,angry,5_20_female_happy,5_20_female_sad,5_20_female_angry,5_20_female_neutral
43,angry,5_20_female_sad,5_20_female_fearful,5_20_female_angry,5_20_female_disgusted
44,angry,8_30_male_fearful,8_30_male_angry,8_30_male_surprised,8_30_male_disgusted
45,angry,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
46,angry,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
47,angry,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
48,angry,8_30_male_happy,8_30_male_sad,8_30_male_angry,8_30_male_neutral
